Start,YLow,YVAL,YPOC,YVAH,YHigh,SessionOpen,HourClose,LinRegAlpha,LinRegBeta,LinRegR2,YNakedLowDistPct,YNakedVALDistPct,YNakedPOCDistPct,YNakedVAHDistPct,YNakedHighDistPct,CrossYLow,CrossYVAL,CrossYPOC,CrossYVAH,CrossYHigh
2018-08-22T00:00:00Z,6246,6246,6306.121212121212,6358.727272727273,6493,6479.98,6515,6465.2517049180315,-0.1935832175604354,0.0548626238227653,-0.041289332310053724,-0.041289332310053724,-0.03206121072583085,-0.02398660433963577,-0.0033768227168073676,false,false,true,true,true
2018-08-23T00:00:00Z,6268,6429.454545454545,6668.646464646465,6854.020202020202,6859,6362.57,6418.69,6353.4817267759545,1.144139205334813,0.8897779689401427,-0.02347675304462431,0.0016770626801645573,0.038941974865037116,0.06782228180831333,0.06859810958310815,false,true,false,false,false
2018-08-24T00:00:00Z,6347,6391.545454545455,6417,6465.787878787879,6556,6525,6485.32,6526.296131147543,-0.689360377882749,0.8239789156165078,-0.02132816884903131,-0.014459509392681433,-0.010534561131910177,-0.0030117436320984516,0.010898459906373208,false,false,false,true,true
2018-08-25T00:00:00Z,6463,6465.555555555556,6516.666666666667,6595.888888888889,6715,6686.98,6722.73,6691.100683060109,0.5800333425951639,0.6530401469624483,-0.03863460231185836,-0.03825446573705086,-0.030651734240901035,-0.018867500421868928,-0.001149830500406764,false,false,false,false,true
2018-08-26T00:00:00Z,6656,6687.515151515152,6713.777777777777,6738.727272727273,6785,6733.64,6754.88,6741.7696502732215,0.2880005557099172,0.1436388743942606,-0.01463830593585676,-0.009972767611689349,-0.006084819008216687,-0.0023912678349174423,0.004458998531432074,true,true,true,true,false
2018-08-27T00:00:00Z,6574,6593.79797979798,6649.232323232323,6698.727272727273,6769,6700,6700.23,6696.330027322405,-0.061656293414839886,0.04459370478497671,-0.018839651773148024,-0.015884830849391723,-0.007611332262873997,0,0.010263826764155923,false,false,false,true,false
2018-08-28T00:00:00Z,6656,6692.767676767677,6729.535353535353,6753.171717171717,6915,6907.26,6912.12,6881.1178032786875,0.2590066685190316,0.2793282684878148,-0.03705375485379303,-0.031734449522335145,-0.026415144190877263,-0.022995590763511424,0.0004166594329959707,false,false,false,false,true
2018-08-29T00:00:00Z,6867,6867,6919.525252525253,6953.666666666667,7126,7077,7078.04,7077.703907103827,-0.25779911086412666,0.2969102535721958,-0.02981616379675729,-0.02981616379675729,-0.022395288451993393,-0.017571719477896847,0.0067758871099909065,false,false,false,true,true
2018-08-30T00:00:00Z,6927,7006.575757575758,7014.737373737374,7102.474747474747,7128,7033.21,7051.07,7033.9313661202195,0.42791414281745044,0.6341825473952905,-0.01759591097521365,-0.006310282329382881,-0.005152781955451589,0.007290347064310472,0.010910400832781449,true,true,true,false,false
2018-08-31T00:00:00Z,6804,6806.606060606061,6858.727272727273,6955.151515151515,7061,6984.84,6947.66,6981.439393442621,-0.46708113364823234,0.6974373486783698,-0.02067746550637191,-0.020302366464959264,-0.01280038563670745,0.0010782788955583835,0.01631340624037448,false,false,false,true,true
